Country,Variables,Import
Puerto Rico(Thousand Dollars),2019 Jun,158305
Qatar(Thousand Dollars),2019 Jun,115055
Republic Of Korea(Thousand Dollars),2019 Jun,1618048
Saudi Arabia(Thousand Dollars),2019 Jun,68971
Slovak Republic (Slovakia)(Thousand Dollars),2019 Jun,2819
Slovenia(Thousand Dollars),2019 Jun,2357
Solomon Islands(Thousand Dollars),2019 Jun,12597
Spain(Thousand Dollars),2019 Jun,30822
Sri Lanka(Thousand Dollars),2019 Jun,113598
Sweden(Thousand Dollars),2019 Jun,16857
Switzerland(Thousand Dollars),2019 Jun,345144
Syrian Arab Republic(Thousand Dollars),2019 Jun,353
Taiwan(Thousand Dollars),2019 Jun,1687060
Thailand(Thousand Dollars),2019 Jun,1589997
Total Merchandise Exports(Thousand Dollars),2019 Jun,41424050
United Arab Emirates(Thousand Dollars),2019 Jun,556583
United Kingdom(Thousand Dollars),2019 Jun,351668
United States(Thousand Dollars),2019 Jun,3675278
Uruguay(Thousand Dollars),2019 Jun,947
Venezuela(Thousand Dollars),2019 Jun,7
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Jun,1413231
Yemen Democratic(Thousand Dollars),2019 Jun,0
Yemen(Thousand Dollars),2019 Jun,1108
Afghanistan(Thousand Dollars),2019 Jul,2820
