Date,Country,Export,Category
2019 Feb,Cyprus(Thousand Dollars),55313,Export
2019 Feb,Colombia(Thousand Dollars),18461,Export
2019 Feb,Chile(Thousand Dollars),5726,Export
2019 Feb,Canada(Thousand Dollars),98795,Export
2019 Feb,Cambodia(Thousand Dollars),183143,Export
2019 Feb,Brunei Darussalam(Thousand Dollars),86002,Export
2019 Feb,Brazil(Thousand Dollars),133785,Export
2019 Feb,Belgium(Thousand Dollars),470596,Export
2019 Feb,Bangladesh(Thousand Dollars),250774,Export
2019 Feb,Bahrain(Thousand Dollars),14028,Export
2019 Feb,Austria(Thousand Dollars),22659,Export
2019 Feb,Australia(Thousand Dollars),1012204,Export
2019 Feb,Asia(Million Dollars),28614.5,Export
2019 Feb,Argentina(Thousand Dollars),8007,Export
2019 Feb,America(Million Dollars),4841.7,Export
2019 Feb,Africa(Million Dollars),658,Export
2019 Feb,Afghanistan(Thousand Dollars),1941,Export
2019 Jan,Yemen(Thousand Dollars),569,Export
2019 Jan,Yemen Democratic(Thousand Dollars),0,Export
2019 Jan,"Vietnam, Socialist Republic Of(Thousand Dollars)",1431480,Export
2019 Jan,Venezuela(Thousand Dollars),94,Export
2019 Jan,Uruguay(Thousand Dollars),2652,Export
2019 Jan,United States(Thousand Dollars),3711954,Export
2019 Jan,United Kingdom(Thousand Dollars),360744,Export
2019 Jan,United Arab Emirates(Thousand Dollars),455463,Export
2019 Jan,Total Merchandise Exports(Thousand Dollars),44530898,Export
2019 Jan,Thailand(Thousand Dollars),1726601,Export
2019 Jan,Taiwan(Thousand Dollars),1881308,Export
2019 Jan,Syrian Arab Republic(Thousand Dollars),691,Export
2019 Jan,Switzerland(Thousand Dollars),171669,Export
2019 Jan,Sweden(Thousand Dollars),28203,Export
2019 Jan,Sri Lanka(Thousand Dollars),210271,Export
2019 Jan,Spain(Thousand Dollars),26099,Export
2019 Jan,Solomon Islands(Thousand Dollars),4415,Export
2019 Jan,Slovenia(Thousand Dollars),6156,Export
2019 Jan,Slovak Republic (Slovakia)(Thousand Dollars),3595,Export
2019 Jan,Saudi Arabia(Thousand Dollars),74020,Export
2019 Jan,Republic Of Korea(Thousand Dollars),1669616,Export
2019 Jan,Qatar(Thousand Dollars),120371,Export
2019 Jan,Puerto Rico(Thousand Dollars),204140,Export
2019 Jan,Portugal(Thousand Dollars),40069,Export
2019 Jan,Poland(Thousand Dollars),37311,Export
2019 Jan,Philippines(Thousand Dollars),902255,Export
2019 Jan,Peru(Thousand Dollars),5268,Export
2019 Jan,Paraguay(Thousand Dollars),360,Export
2019 Jan,Papua New Guinea(Thousand Dollars),79029,Export
2019 Jan,Pakistan(Thousand Dollars),185968,Export
2019 Jan,Other Countries In Oceania(Thousand Dollars),389696,Export
2019 Jan,Oman(Thousand Dollars),14450,Export
2019 Jan,Oceania(Million Dollars),2046.4,Export
2019 Jan,New Zealand(Thousand Dollars),256177,Export
2019 Jan,New Caledonia(Thousand Dollars),29996,Export
2019 Jan,Netherlands(Thousand Dollars),1226179,Export
2019 Jan,Nepal(Thousand Dollars),12901,Export
2019 Jan,Myanmar(Thousand Dollars),394459,Export
2019 Jan,Mexico(Thousand Dollars),149619,Export
2019 Jan,Malta(Thousand Dollars),158286,Export
2019 Jan,"Maldives, Republic Of(Thousand Dollars)",35166,Export
2019 Jan,Malaysia(Thousand Dollars),4794555,Export
2019 Jan,Mainland China(Thousand Dollars),5037750,Export
2019 Jan,Macau(Thousand Dollars),34105,Export
2019 Jan,Luxembourg(Thousand Dollars),26582,Export
2019 Jan,Lithuania(Thousand Dollars),1426,Export
2019 Jan,Lebanon(Thousand Dollars),5923,Export
2019 Jan,Latvia(Thousand Dollars),3819,Export
2019 Jan,Laos People's Democratic Republic(Thousand Dollars),5648,Export
2019 Jan,Kuwait(Thousand Dollars),23233,Export
2019 Jan,Jordan(Thousand Dollars),6178,Export
2019 Jan,Japan(Thousand Dollars),2181638,Export
2019 Jan,Italy(Thousand Dollars),87126,Export
2019 Jan,Israel(Thousand Dollars),105782,Export
2019 Jan,Ireland(Thousand Dollars),83634,Export
2019 Jan,Iran (Islamic Republic Of)(Thousand Dollars),5113,Export
2019 Jan,Indonesia(Thousand Dollars),3481372,Export
2019 Jan,India(Thousand Dollars),1377808,Export
2019 Jan,Hungary(Thousand Dollars),44932,Export
2019 Jan,Hong Kong(Thousand Dollars),5133134,Export
2019 Jan,Guam(Thousand Dollars),59982,Export
2019 Jan,Greece(Thousand Dollars),148957,Export
2019 Jan,"Germany, Federal Republic Of(Thousand Dollars)",796658,Export
2019 Jan,"Germany, Democratic Republic Of(Thousand Dollars)",0,Export
2019 Jan,French Polynesia(Thousand Dollars),17324,Export
2019 Jan,France(Thousand Dollars),510535,Export
2019 Jan,Finland(Thousand Dollars),11566,Export
2019 Jan,Fiji(Thousand Dollars),38179,Export
2019 Jan,European Union(Million Dollars),3926.7,Export
2019 Jan,Europe(Million Dollars),4585.6,Export
2019 Jan,Estonia(Thousand Dollars),757,Export
2019 Jan,Ecuador(Thousand Dollars),7854,Export
2019 Jan,Denmark(Thousand Dollars),18940,Export
2019 Jan,Democratic People's Republic Of Korea(Thousand Dollars),0,Export
2019 Jan,Czech Republic(Thousand Dollars),75677,Export
2019 Jan,Cyprus(Thousand Dollars),38793,Export
2019 Jan,Colombia(Thousand Dollars),11883,Export
2019 Jan,Chile(Thousand Dollars),6511,Export
2019 Jan,Canada(Thousand Dollars),125731,Export
